date,state,place,latitude,longitude,depth_km,magnitude,risk_label
2015-05-13,Nagaland,Koyna Region,11.1954,75.4156,22.83,4.1,0
2021-07-27,Telangana,Andaman Sea,18.6085,96.2939,37.85,8.1,1
2006-08-27,Uttarakhand,Northeast India,21.8019,82.581,50.9,6.1,1
2000-10-27,Andaman and Nicobar Islands,Koyna Region,23.7791,72.641,34.32,7.2,1
2002-12-19,Andaman and Nicobar Islands,Andaman Sea,19.2097,88.349,20.05,3.3,0
2013-05-25,Telangana,Bangalore Region,30.0992,71.4538,7.98,5.1,0
2013-06-05,Kerala,Northeast India,6.5514,97.7974,11.85,5.6,1
2006-03-16,Assam,Himalayan Belt,31.0069,87.4019,84.1,3.1,0
2019-09-18,Manipur,Bangalore Region,27.9743,94.829,61.57,5.3,0
2012-08-12,Sikkim,Nicobar Islands,19.6343,84.233,30.41,3.4,0
2020-02-17,Himachal Pradesh,Andaman Sea,30.7589,73.52,5.37,3.8,0
2023-07-07,Meghalaya,Koyna Region,11.5548,71.8633,28.09,4.3,0
2019-01-16,Kerala,Northeast India,23.8932,72.1329,79.9,8.2,1
2005-06-16,Sikkim,Northeast India,19.1817,71.945,7.34,7.6,1
2013-09-20,Telangana,Bangalore Region,30.0569,71.2879,5.28,5.7,1
2006-04-14,Kerala,Andaman Sea,20.7773,69.7563,112.14,3.7,0
2023-01-05,Tamil Nadu,Bhuj Region,19.1162,68.8592,117.94,3.7,0
2016-01-11,Gujarat,Northeast India,31.4445,90.8875,97.26,4.5,0
2004-07-11,Uttarakhand,Himalayan Belt,25.1843,89.7928,34.41,6.2,1
2013-07-29,Manipur,Nicobar Islands,7.1297,95.4191,17.88,7.2,1
2023-01-04,Rajasthan,Bangalore Region,22.3729,72.1434,87.8,6.9,1
2004-07-29,Karnataka,Himalayan Belt,14.815,97.3474,9.9,4.9,0
2022-10-29,Uttarakhand,Bhuj Region,22.0531,68.9382,106.34,3.8,0
2008-05-03,Himachal Pradesh,Northeast India,13.7428,69.9141,101.6,3.5,0
2008-05-17,Assam,Koyna Region,16.7242,72.356,26.35,6.7,1
2000-11-29,Tamil Nadu,Northeast India,22.3522,82.1178,106.43,6.5,1
2011-06-21,Nagaland,Northeast India,21.4186,91.6993,97.82,3.5,0
2010-09-02,Assam,Northeast India,10.4585,71.312,56.07,5.7,1
2003-12-31,Kerala,Nicobar Islands,12.5705,75.4755,42.65,3.8,0
2014-08-08,Andaman and Nicobar Islands,Andaman Sea,7.7412,70.8741,38.9,7.1,1
2001-04-28,Telangana,Northeast India,24.3494,86.7572,102.82,4.7,0
2015-06-13,Maharashtra,Bhuj Region,6.6603,92.0935,49.48,3.0,0
2021-01-07,Telangana,Delhi NCR,24.3464,95.0335,116.42,6.1,1
2014-03-16,Sikkim,Koyna Region,17.2149,75.0376,22.97,3.8,0
2006-10-15,Maharashtra,Bhuj Region,30.086,77.0463,89.52,7.3,1
2009-09-05,Assam,Nicobar Islands,26.3797,90.8442,59.18,6.8,1
2016-10-15,Manipur,Bhuj Region,12.3117,76.7246,25.92,3.1,0
2022-04-19,Gujarat,Bangalore Region,12.8903,81.4593,37.93,6.0,1
2017-05-07,Nagaland,Himalayan Belt,15.4494,78.1288,111.76,5.2,0
2020-02-21,Kerala,Himalayan Belt,9.6323,81.2387,8.66,8.1,1
2010-09-08,Andhra Pradesh,Northeast India,24.911,95.7413,59.42,4.3,0
2021-12-06,Himachal Pradesh,Himalayan Belt,31.645,86.5284,27.5,6.2,1
2005-10-22,Maharashtra,Northeast India,10.2116,70.3454,65.46,6.5,1
2023-10-24,Tamil Nadu,Bangalore Region,13.7525,83.5546,74.4,3.8,0
2024-05-30,Maharashtra,Himalayan Belt,14.898,83.5147,55.03,6.1,1
2011-12-18,Gujarat,Koyna Region,13.5667,82.4378,106.06,5.6,1
2004-09-16,Andhra Pradesh,Nicobar Islands,23.1117,91.512,113.08,4.1,0
2018-06-28,Nagaland,Nicobar Islands,8.2567,72.1428,32.99,3.1,0
2008-03-24,Himachal Pradesh,Himalayan Belt,7.1238,93.5528,89.89,3.3,0
2021-03-03,Himachal Pradesh,Nicobar Islands,23.6218,71.49,106.13,3.9,0
2004-06-04,Gujarat,Bhuj Region,26.4897,80.4843,52.03,3.2,0
2008-05-05,Manipur,Bhuj Region,26.5112,68.948,108.73,4.1,0
2010-12-04,Maharashtra,Bhuj Region,10.8339,70.2876,66.59,4.2,0
2019-02-12,Andhra Pradesh,Koyna Region,16.1569,69.8302,76.66,7.2,1
2021-02-08,Meghalaya,Delhi NCR,17.557,77.2431,107.72,5.2,0
2012-01-30,Gujarat,Delhi NCR,15.1756,79.6946,10.57,5.8,1
2002-03-29,Kerala,Himalayan Belt,18.2189,83.5133,110.78,8.0,1
2014-10-08,Meghalaya,Koyna Region,23.3653,77.082,101.21,5.5,1
2015-01-05,Rajasthan,Himalayan Belt,8.9997,89.252,17.76,3.2,0
2004-10-04,Uttarakhand,Andaman Sea,20.2922,88.2953,7.1,7.2,1
2020-06-25,Maharashtra,Andaman Sea,21.0314,84.3973,80.73,4.2,0
2005-06-29,Gujarat,Andaman Sea,27.6429,83.3829,73.37,3.0,0
2012-04-05,Tamil Nadu,Himalayan Belt,27.8705,83.8372,15.63,7.6,1
2015-01-15,Maharashtra,Bangalore Region,24.2319,93.5786,43.73,6.4,1
2021-06-24,Nagaland,Delhi NCR,12.5898,68.5632,69.21,6.5,1
2004-02-16,Gujarat,Nicobar Islands,10.4495,83.0725,26.65,7.8,1
2003-05-14,Tamil Nadu,Delhi NCR,18.9968,72.3244,110.76,3.6,0
2018-03-21,Maharashtra,Andaman Sea,17.0079,90.5371,28.21,4.7,0
2016-07-20,Himachal Pradesh,Andaman Sea,26.7166,96.7912,63.25,3.9,0
2023-12-11,Gujarat,Nicobar Islands,13.234,97.3709,79.2,8.0,1
2009-10-15,Meghalaya,Northeast India,29.8555,88.7476,96.88,5.6,1
2001-03-31,Himachal Pradesh,Bangalore Region,26.4963,91.6435,86.39,5.9,1
2016-07-09,Andhra Pradesh,Northeast India,22.3188,93.0796,100.21,3.9,0
2017-07-04,Andhra Pradesh,Himalayan Belt,18.4649,97.9047,111.61,3.4,0
2012-06-09,Andhra Pradesh,Koyna Region,9.8662,93.5792,92.9,8.1,1
2014-12-18,Rajasthan,Northeast India,9.0263,75.4779,77.96,4.5,0
2020-08-03,Sikkim,Bangalore Region,32.2474,69.027,83.82,5.8,1
2011-08-05,Andhra Pradesh,Andaman Sea,31.2964,90.6118,56.44,4.7,0
2013-02-20,Maharashtra,Bhuj Region,31.9792,82.1766,48.56,5.5,1
2010-04-22,Himachal Pradesh,Andaman Sea,10.2969,77.5986,6.56,4.0,0
2014-04-20,Gujarat,Koyna Region,26.3545,96.807,104.68,3.1,0
2020-09-03,Sikkim,Koyna Region,13.0056,72.2568,73.04,5.7,1
2019-08-06,Telangana,Andaman Sea,11.4892,70.0915,87.84,3.3,0
2022-03-01,Telangana,Northeast India,24.6218,77.8077,80.37,3.1,0
2012-11-30,Uttarakhand,Bhuj Region,19.5485,80.8276,105.77,8.1,1
2010-06-05,Manipur,Andaman Sea,26.5076,94.2452,13.73,3.3,0
2022-04-22,Manipur,Delhi NCR,35.2942,94.4758,79.69,6.0,1
2013-03-15,Telangana,Delhi NCR,16.1888,90.6409,75.96,4.9,0
2021-10-14,Uttarakhand,Bhuj Region,10.8063,71.1251,86.66,5.6,1
2019-11-04,Sikkim,Bhuj Region,35.6045,75.8592,104.61,5.9,1
2008-07-26,Uttarakhand,Koyna Region,28.4093,81.6531,98.93,7.8,1
2024-06-21,Karnataka,Delhi NCR,31.9074,95.2763,77.57,3.8,0
2003-11-12,Andhra Pradesh,Koyna Region,7.0446,77.2454,65.1,5.3,0
2003-04-22,Tamil Nadu,Northeast India,13.8037,94.062,22.56,8.2,1
2012-07-08,Kerala,Andaman Sea,15.9167,97.1656,40.87,6.9,1
2017-12-13,Kerala,Koyna Region,7.3713,96.9482,56.23,3.5,0
2000-02-15,Telangana,Northeast India,7.6767,89.06,64.01,3.1,0
2005-01-15,Uttarakhand,Northeast India,18.4006,83.6547,21.72,3.9,0
2017-03-11,Karnataka,Delhi NCR,22.5054,81.9734,12.32,6.5,1
2016-01-14,Andhra Pradesh,Delhi NCR,22.6391,93.3912,48.9,7.1,1
2010-04-24,Manipur,Himalayan Belt,11.8424,92.3173,62.48,3.3,0
2013-12-31,Assam,Northeast India,19.1773,82.4718,12.92,3.5,0
2007-05-09,Assam,Koyna Region,27.1775,97.4805,80.47,6.5,1
2022-03-11,Assam,Nicobar Islands,14.8995,83.8097,70.25,4.9,0
2019-05-18,Nagaland,Delhi NCR,33.4539,85.4739,34.57,4.5,0
2021-06-06,Rajasthan,Bangalore Region,24.7991,97.7969,96.96,7.9,1
2022-05-31,Maharashtra,Andaman Sea,18.2646,87.2654,55.3,7.6,1
2023-06-04,Nagaland,Northeast India,33.7612,93.2067,64.31,5.3,0
2020-01-22,Himachal Pradesh,Koyna Region,27.3153,94.4151,102.67,6.3,1
2023-09-03,Maharashtra,Northeast India,12.3214,84.2215,58.04,3.1,0
2019-10-25,Andaman and Nicobar Islands,Bangalore Region,27.7145,76.5274,63.47,8.3,1
2000-03-14,Gujarat,Bhuj Region,25.8131,78.6907,105.0,4.6,0
2003-12-28,Andhra Pradesh,Bhuj Region,22.5516,71.8429,59.88,6.5,1
2001-05-07,Manipur,Nicobar Islands,9.1865,77.4372,119.77,4.5,0
2022-02-18,Uttarakhand,Nicobar Islands,21.8568,68.8867,35.1,6.8,1
2012-04-04,Manipur,Nicobar Islands,28.8718,74.1293,49.39,7.4,1
2013-02-01,Tamil Nadu,Nicobar Islands,29.2093,78.0766,15.38,4.4,0
2005-09-18,Nagaland,Nicobar Islands,22.8335,89.3671,36.84,3.6,0
2002-04-24,Tamil Nadu,Himalayan Belt,14.3919,96.9022,91.16,4.3,0
2007-02-21,Himachal Pradesh,Bangalore Region,6.4267,95.2974,36.22,6.0,1
2022-11-23,Assam,Bhuj Region,20.617,97.0127,36.8,6.6,1
2000-06-30,Uttarakhand,Bangalore Region,15.4464,88.298,61.54,5.5,1
2005-02-07,Assam,Delhi NCR,19.692,79.9792,92.65,6.5,1
2000-12-19,Tamil Nadu,Nicobar Islands,32.3335,85.2943,54.37,7.5,1
2014-12-20,Meghalaya,Bhuj Region,35.2321,81.3235,50.55,7.1,1
2014-07-31,Kerala,Himalayan Belt,19.3816,78.4619,9.0,3.7,0
2013-04-12,Uttarakhand,Himalayan Belt,29.6971,80.2189,30.85,7.4,1
2015-01-31,Meghalaya,Bhuj Region,28.144,84.7801,57.49,6.4,1
2016-07-01,Gujarat,Delhi NCR,25.9561,84.5191,87.91,5.4,0
2023-12-31,Nagaland,Delhi NCR,25.0555,70.6272,75.97,3.9,0
2004-06-17,Karnataka,Andaman Sea,28.4078,96.4444,41.65,4.9,0
2022-11-29,Meghalaya,Northeast India,33.9594,70.8358,42.38,5.2,0
2001-03-15,Gujarat,Himalayan Belt,15.7145,78.9107,67.73,4.2,0
2011-04-17,Nagaland,Himalayan Belt,14.1529,90.2461,97.07,7.9,1
2022-05-02,Assam,Himalayan Belt,18.8003,71.9924,100.22,7.7,1
2017-09-20,Rajasthan,Northeast India,7.2294,80.4858,42.07,3.3,0
2007-02-20,Manipur,Northeast India,22.471,96.7703,45.14,4.4,0
2020-12-30,Kerala,Koyna Region,32.533,93.4048,24.17,3.7,0
2018-09-05,Nagaland,Northeast India,34.134,76.6929,10.1,7.1,1
2022-01-22,Manipur,Himalayan Belt,8.4654,76.556,94.61,5.5,1
2016-04-09,Sikkim,Andaman Sea,12.8412,80.6108,35.53,3.1,0
2020-01-01,Uttarakhand,Koyna Region,34.2672,75.9313,51.81,6.3,1
2007-05-06,Meghalaya,Bangalore Region,8.4771,86.4281,24.56,3.7,0
2016-07-01,Kerala,Nicobar Islands,20.6662,75.4739,47.25,8.2,1
2003-06-09,Karnataka,Bangalore Region,20.6919,91.2225,45.23,4.8,0
2011-03-28,Manipur,Bhuj Region,31.5858,87.4676,10.87,4.8,0
2020-12-01,Rajasthan,Delhi NCR,7.6657,79.5666,78.79,5.3,0
2009-01-07,Assam,Bangalore Region,10.2491,76.0768,7.15,8.4,1
2009-08-06,Kerala,Himalayan Belt,31.9115,70.029,112.07,8.3,1
2013-04-21,Andaman and Nicobar Islands,Himalayan Belt,7.7754,90.3059,107.42,6.8,1
2002-09-10,Himachal Pradesh,Delhi NCR,32.8145,84.1372,98.59,4.7,0
2000-05-29,Assam,Northeast India,10.1661,84.6483,91.86,5.1,0
2007-01-10,Assam,Northeast India,16.5669,76.9638,115.48,6.7,1
2004-04-16,Tamil Nadu,Bhuj Region,24.9674,85.7058,31.49,7.4,1
2000-10-11,Telangana,Bhuj Region,7.067,84.0677,15.23,3.8,0
2015-04-27,Gujarat,Koyna Region,12.5964,76.3377,9.24,4.8,0
2004-10-08,Karnataka,Bhuj Region,32.0903,74.3053,102.56,4.7,0
2011-12-05,Rajasthan,Bhuj Region,16.5135,87.4545,119.22,7.0,1
2019-07-16,Andaman and Nicobar Islands,Bangalore Region,9.2114,84.8427,48.9,5.8,1
2013-09-02,Kerala,Himalayan Belt,7.0472,94.4739,44.96,6.4,1
2004-05-23,Tamil Nadu,Himalayan Belt,34.2666,83.2828,48.12,7.6,1
2008-11-01,Uttarakhand,Himalayan Belt,22.8181,91.3339,109.59,3.8,0
2012-11-07,Telangana,Himalayan Belt,32.9091,95.6197,103.82,4.3,0
2023-04-24,Kerala,Bhuj Region,30.1815,88.7314,79.76,8.1,1
2010-10-06,Karnataka,Himalayan Belt,18.0264,93.8025,31.48,3.9,0
2017-01-06,Uttarakhand,Delhi NCR,12.6796,75.4412,97.86,3.3,0
2013-12-21,Gujarat,Northeast India,17.247,68.0732,85.75,8.0,1
2010-04-10,Manipur,Bhuj Region,35.1749,78.2588,119.88,5.9,1
2014-07-17,Tamil Nadu,Koyna Region,7.0321,85.6688,50.08,7.9,1
2009-02-23,Meghalaya,Bangalore Region,9.3986,92.4289,62.65,3.0,0
2017-12-01,Rajasthan,Bhuj Region,28.1983,80.9999,63.46,8.2,1
2004-07-22,Kerala,Bhuj Region,11.0869,97.4226,90.22,6.7,1
2010-07-24,Kerala,Himalayan Belt,8.583,88.2427,79.38,3.3,0
2019-03-08,Manipur,Bhuj Region,34.325,95.4254,55.19,5.0,0
2012-04-09,Tamil Nadu,Northeast India,34.2035,96.5443,53.05,3.3,0
2007-07-03,Manipur,Bangalore Region,29.0381,69.724,98.16,3.1,0
2010-12-17,Nagaland,Andaman Sea,7.3865,90.8403,97.74,8.2,1
2001-10-08,Andaman and Nicobar Islands,Himalayan Belt,10.9219,68.2946,12.18,5.9,1
2017-10-15,Assam,Nicobar Islands,13.3627,97.2135,11.13,5.5,1
2018-04-04,Andaman and Nicobar Islands,Koyna Region,31.4127,69.7099,113.79,8.0,1
2017-11-25,Andhra Pradesh,Bangalore Region,28.877,82.4182,14.57,3.4,0
2000-08-15,Sikkim,Bangalore Region,27.4877,90.9943,60.96,8.1,1
2015-12-28,Andaman and Nicobar Islands,Nicobar Islands,6.3875,96.9883,105.53,3.5,0
2008-08-08,Telangana,Northeast India,21.404,78.9928,37.5,7.3,1
2011-10-22,Andaman and Nicobar Islands,Delhi NCR,16.4333,82.1593,91.31,8.1,1
2004-07-22,Sikkim,Delhi NCR,25.1714,81.5778,11.02,3.3,0
2008-05-11,Rajasthan,Northeast India,9.0409,82.3031,70.81,3.3,0
2011-10-01,Gujarat,Northeast India,7.8965,68.9212,83.99,6.9,1
2016-07-18,Kerala,Nicobar Islands,34.3878,78.1302,86.2,5.4,0
2001-08-12,Gujarat,Andaman Sea,27.0247,68.4824,51.16,5.0,0
2018-10-25,Nagaland,Andaman Sea,33.7075,69.4126,61.41,3.6,0
2004-07-15,Maharashtra,Andaman Sea,16.6281,79.613,73.55,3.1,0
2018-04-07,Himachal Pradesh,Bhuj Region,31.5221,82.2292,69.89,5.7,1
2006-07-16,Maharashtra,Nicobar Islands,21.6824,74.9449,18.93,7.3,1
2006-10-10,Nagaland,Bangalore Region,24.7581,76.5442,40.81,7.5,1
2003-10-28,Uttarakhand,Andaman Sea,28.9977,91.5231,46.35,3.2,0
2012-07-30,Maharashtra,Bangalore Region,32.1297,89.2895,101.04,4.2,0
2016-11-28,Telangana,Bangalore Region,17.008,90.4237,88.04,4.2,0
2016-01-08,Andaman and Nicobar Islands,Himalayan Belt,17.9667,95.5612,44.82,4.5,0
2008-01-31,Maharashtra,Bhuj Region,10.6616,88.8349,108.56,4.3,0
2000-01-16,Maharashtra,Bangalore Region,20.2596,73.371,116.62,3.6,0
2010-12-17,Uttarakhand,Bangalore Region,15.388,83.2068,62.37,8.5,1
2015-12-14,Nagaland,Koyna Region,18.3249,89.1904,110.64,6.4,1
2013-01-13,Sikkim,Bhuj Region,24.4745,75.8227,81.74,3.1,0
2022-10-04,Meghalaya,Koyna Region,31.1194,95.2996,70.76,8.4,1
2000-05-13,Tamil Nadu,Andaman Sea,8.3748,80.8677,9.26,5.0,0
2018-02-28,Assam,Bhuj Region,10.3228,84.892,100.28,6.4,1
2000-12-19,Sikkim,Bhuj Region,34.0919,74.9327,33.8,5.2,0
2022-06-27,Andaman and Nicobar Islands,Bangalore Region,29.1982,74.221,68.18,7.3,1
2011-02-11,Manipur,Andaman Sea,33.1515,71.2184,102.91,5.2,0
2004-06-04,Uttarakhand,Bangalore Region,13.7317,85.7166,98.82,5.3,0
2003-05-09,Maharashtra,Bangalore Region,32.8127,78.1337,49.05,5.7,1
2019-06-15,Tamil Nadu,Bangalore Region,16.1412,95.0607,112.01,6.8,1
2009-06-10,Rajasthan,Himalayan Belt,17.0648,79.7858,15.83,7.0,1
2008-12-21,Gujarat,Northeast India,25.3676,78.8618,42.01,5.9,1
2018-09-24,Telangana,Bangalore Region,19.5268,96.7386,110.47,3.2,0
2012-03-07,Karnataka,Himalayan Belt,19.4125,73.019,75.95,7.1,1
2006-02-02,Rajasthan,Delhi NCR,23.0529,92.3614,16.8,5.3,0
2024-05-05,Karnataka,Nicobar Islands,34.9837,93.9375,114.02,8.2,1
2024-04-22,Sikkim,Bhuj Region,14.6648,94.7974,91.9,6.7,1
2000-09-11,Andaman and Nicobar Islands,Himalayan Belt,34.6838,77.1038,38.61,7.6,1
2009-06-15,Himachal Pradesh,Delhi NCR,20.8031,68.7852,118.18,4.9,0
2009-01-13,Maharashtra,Himalayan Belt,17.9494,80.617,107.02,6.3,1
2016-08-14,Meghalaya,Andaman Sea,24.8015,95.0245,110.55,5.7,1
2021-08-01,Meghalaya,Northeast India,32.1667,78.9958,39.37,7.7,1
2012-09-17,Uttarakhand,Delhi NCR,29.7265,81.0029,78.99,4.8,0
2010-09-04,Meghalaya,Delhi NCR,17.6706,75.3671,16.52,4.3,0
2008-11-27,Uttarakhand,Delhi NCR,9.7741,96.089,43.56,3.0,0
2010-04-20,Rajasthan,Andaman Sea,7.0198,68.4863,95.91,3.6,0
2018-02-20,Meghalaya,Bhuj Region,23.5523,74.2643,86.89,8.1,1
2010-01-25,Tamil Nadu,Northeast India,27.0765,75.7659,37.7,5.8,1
2020-03-25,Sikkim,Bhuj Region,14.5118,93.7359,26.4,5.1,0
2014-08-26,Uttarakhand,Nicobar Islands,14.1984,69.6115,33.2,8.1,1
2014-01-14,Uttarakhand,Bangalore Region,19.7989,78.3482,34.99,6.5,1
2015-07-15,Maharashtra,Nicobar Islands,23.105,79.1518,103.32,5.3,0
2002-06-19,Andaman and Nicobar Islands,Andaman Sea,30.7767,80.2625,65.21,7.9,1
2006-02-26,Telangana,Northeast India,27.3402,70.8915,86.06,3.9,0
2006-08-24,Manipur,Nicobar Islands,29.8227,73.3294,74.14,8.1,1
